channel increments	depth
0	0
0.1	6
0.2	21.7
0.3	27.5
0.4	27.9
0.5	22.8
0.6	24
0.7	29.1
0.8	27
0.9	18.3
1	23
1.1	23.8
1.2	22.5
1.3	24.7
1.4	24
1.5	23.2
1.6	26
1.7	26.6
1.8	26.4
1.9	28.2
2	32.5
2.1	29.8
2.2	32
2.3	21.8
2.4	22.4
2.5	32.5
2.6	29.3
2.7	34
2.8	26
2.9	33.5
3	31.7
3.1	38
3.2	35.5
3.3	20
3.4	21
3.5	22.5
3.6	14.5
3.7	0
3.8	0
4	0
