channel increments	depth
0	0
0.1	13.8
0.2	35.6
0.3	38.2
0.4	41.5
0.5	39.4
0.6	39.2
0.7	44
0.8	43.3
0.9	34.9
1	37
1.1	38.5
1.2	36.5
1.3	38.7
1.4	35.5
1.5	43.1
1.6	43.7
1.7	40
1.8	41.9
1.9	45.3
2	45
2.1	45.7
2.2	39.3
2.3	46.5
2.4	42.9
2.5	45.8
2.6	39.4
2.7	47.5
2.8	46.5
2.9	44.6
3	44.9
3.1	42.3
3.2	33.7
3.3	37.7
3.4	27.1
3.5	22.6
3.6	20.7
3.7	18.6
3.8	7.6
4	0
