																	
									0.006				0.002	0.009	0.004		
		0.137	0.101		0.118	0.007	0.217		0.074		0.017	0.004	0.01	0.022	0.007		
		0.258	0.179	0.172	0.254	0	0.295		0.048	0.017	0.009	0.003	0.016	0.011	0.013	0.019	
		0.294	0.264	0.304	0.319	0.137	0.259	0.111	0.029	0.036	0.07	0.034	0.01	0.008	0.009	0.009	0.002
		0.341	0.38	0.359	0.435	0.287	0.293	0.09	0.034	0.035	0.068	0.045	0.013	0.001	0.005	0.014	0.002
		0.455	0.46	0.46	0.41	0.341	0.228	0.132	0.101	0.082	0.055	0.026	0.009	0.003	0.002	0.01	0.016
0.021		0.478	0.51	0.453	0.386	0.391	0.343	0.115	0.119	0.095	0.096	0.019	0.009	0.025	0.004	0.009	0.023
0.018		0.397	0.55	0.457	0.413	0.381	0.28	0.091	0.128	0.104	0.05	0.031	0.021	0.013	0.006	0.022	0.031
